Grade,Strand,Anchor Standard,Code,Benchmark
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.8,U.S. History Era 2: Settler Colonialism and Atlantic Slavery - Identify how Indigenous people built new coalitions and developed a diverse set of strategies in response to European settler colonialism. Examine how Indigenous perspectives and strategies may have changed over time.
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.9,"U.S. History Era 3: Freedom, Unfreedom and Revolution - Examine Black, Indigenous, working class and/or women's perspectives on a major issue that occurred during the American Revolution and the early Republic."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.10,"U.S. History Era 4: Imperial Expansion and Native Dispossession - Identify and analyze Mexican, Asian, African American and/or Indigenous perspectives on the Mexican War, the Louisiana Purchase, Texas, the Gold Rush, the trans-continental railroad and/or other U.S. territorial acquisition strategies."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.11,"U.S. History Era 5: Slavery, Civil War and Reconstruction - Identify and analyze how enslaved and freed people of color resisted slavery, built coalitions and navigated discrimination and racism in the United States."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.12,"U.S. History Era 6: Migration, Imperialism and Inequality - Identify patterns, intersections and causes of stratification (including racial, class, gender, citizenship status and/or religion) that lead to social inequalities. Identify their impact on both individuals and groups in the United States and across the world."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.13,"U.S. History Era 7: U.S. and the World - Analyze how historical developments shaped and continue to shape people's perspectives about the Cold War, capitalism, socialism and communism on a global scale and in the United States."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.14,"U.S. History Era 8: Civil Rights Struggles - Describe different perspectives regarding the role of the United States in Southeast Asia, including the Vietnam War. Analyze the causes and effects of the United States Secret War in Laos and how Hmong allies were impacted as a result of their involvement in this war."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.15,"U.S. History Era 9: Contested Freedoms - Examine conflicting perspectives about the impact of federal policies and legislation on American society, specifically taxation, criminal justice, incarceration, free trade and immigration."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.1,"World History Era 1: Early Human History (250,000 BCE-2,000 BCE) - Interpret surviving evidence about early human history and discern what we can and cannot know about early humans from these sources."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.2,"World History Era 2: Cities, Societies and Empires (2,500 BCE-800 CE) - Identify different types of historical sources, both textual and non-text-based, in order to interpret surviving evidence about ancient cities, societies and empires. Detect possible limitations in various kinds of historical evidence and differing secondary interpretations."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.3,"World History Era 3: Interregional Networks and Exchange (700-1500) - Use historical sources to identify and describe at least two different cultures in Africa, such as Swahili, Ghana and/or Mali, Songhai. Identify their short- and long-term influence on African history and society."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.4,World History Era 4: The First Global Age (1400-1800) - Investigate and interpret multiple primary and/or secondary sources to understand and analyze the perspectives of individuals and communities who have traditionally been underrepresented in historical narratives about the first global age. Analyze how current interpretations of the past are limited by the extent to which available historical sources represent perspectives of people at the time.
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.5,"World History Era 5: Revolutions, Empires and Nations (1750-1900) - Investigate and interpret multiple primary sources from the Age of Revolutions. Analyze why they were written or created. Consider what perspectives and narratives are absent from these sources."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.6,World History Era 6: The New Global Era (1900-Present) - Investigate and interpret multiple primary sources about global migration and refugees from 1900 to the present. Use questions generated about multiple historical sources to pursue further inquiry and investigate additional sources.
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.7,"U.S. History Era 1: Indigenous Histories - Interpret a variety of historical sources (including objects, artistic works, written accounts and oral narratives) in order to develop a nuanced understanding of the multiple, diverse and complex societies in North America before European colonialism."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.8,"U.S. History Era 2: Settler Colonialism and Atlantic Slavery - Investigate historical sources about colonialism, religion and slavery, asking who created them and whose interests were articulated or excluded. Analyze the ways in which the perspectives of those recording history shaped the history that they produced."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.9,"U.S. History Era 3: Freedom, Unfreedom and Revolution - Examine the founding documents and early statutes of the United States, focusing on the Declaration of Independence, the Constitution and the Great Law of Peace (Haudenosaunee Constitution) as historical sources, asking who created them, whose voices were absent and whose interests were articulated or excluded."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.10,"U.S. History Era 4: Imperial Expansion and Native Dispossession - Interpret multiple primary or secondary sources to understand and analyze the perspectives of individuals and communities who were affected by and/or participated in imperial expansion and Native Dispossession, including Indigenous, Mexican, Black and/or Asian perspectives."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.11,"U.S. History Era 5: Slavery, Civil War and Reconstruction - Interpret multiple primary sources related to the Civil War and abolition in order to analyze how Black and white abolitionists successfully pressured the U.S. government to end slavery."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.12,"U.S. History Era 6: Migration, Imperialism and Inequality - Interpret historical sources created by North American Indigenous peoples and other colonized peoples (i.e., Cubans, Filipinos, Puerto Ricans, Hawaiians, etc.) in order to examine how they responded to changes in federal Indian policy and/or foreign policy, especially regarding migration, forced removal, sovereignty, land ownership, education, religion and assimilation. Analyze how current interpretations of the past are limited by the extent to which available historical sources represent perspectives of people at the time."
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.13,U.S. History Era 7: U.S. and the World - Interpret multiple primary sources to explore the experiences of refugees and immigrants to the United States during the mid-20th century. Use secondary sources to contextualize their experiences.
9,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",9.4.20.14,"U.S. History Era 8: Civil Rights Struggles - Interpret how new media (e.g., television, internet and social media) and new technologies (e.g., computers, drones) have influenced the creation, interpretation and memory of historical events."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.1,"World History Era 1: Early Human History (250,000 BCE-2,000 BCE) - Explain the interrelationship between the emergence of domestication and agriculture, the development of complex societies, and the environment and climate."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.2,"World History Era 2: Cities, Societies and Empires (2,500 BCE-800 CE) - Create an argument about the emergence and characteristics of complex societies, the development of new technologies and the impact of human society on the environment."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.3,World History Era 3: Interregional Networks and Exchange (700-1500) - Construct a narrative account about the emergence and expansion of Indigenous societies in the Americas and/or trade networks between multiple Indigenous societies in the Americas using historical sources.
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.4,"World History Era 4: The First Global Age (1400-1800) - Examine how new connections between the hemispheres resulted in biological, cultural and technological exchanges. Evaluate who benefitted from these changes and who did not."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.5,"World History Era 5: Revolutions, Empires and Nations (1750-1900) - Explain the causes, interconnections, and global consequences of three or more independence movements, rebellions, or revolutions in the Atlantic World. Distinguish between long-term causes and triggering events in developing a historical argument."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.6,World History Era 6: The New Global Era (1900-Present) - Describe and evaluate different responses to the Holocaust and other genocides and human rights violations.
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.7,World History Era 6: The New Global Era (1900-Present) - Analyze multiple and complex causes and effects of decolonization and independence movements in the 20th and 21st centuries.
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.8,"U.S. History Era 1: Indigenous Histories - Construct an argument about Indigenous history before European colonialism, using multiple sources."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.9,U.S. History Era 2: Settler Colonialism and Atlantic Slavery - Describe the ways that Indigenous peoples managed the environment before European colonialism. Examine the impact of capitalism on those ways of environmental management as well as global trade networks.
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.10,"U.S. History Era 3: Freedom, Unfreedom and Revolution - Develop an argument based on multiple historical sources about the relationship between revolutions and/or rebellions in the Americas, including, but not limited to, the American Revolution and the Haitian Revolution. Distinguish between long-term causes and triggering events in developing a historical argument."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.11,"U.S. History Era 4: Imperial Expansion and Native Dispossession - Critique the central argument in secondary historical sources about the Industrial Revolution and its relationship to new technologies, accelerated expansion, capitalist growth, slavery and/or colonialism."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.12,"U.S. History Era 5: Slavery, Civil War and Reconstruction - Analyze multiple and complex causes and effects of the U.S. Civil War and its impact on African Americans and Indigenous people."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.13,"U.S. History Era 6: Migration, Imperialism and Inequality - Describe and analyze the effectiveness of political and cultural responses to the problems of industrialism, monopoly capitalism, urbanization and political corruption."
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.14,U.S. History Era 7: U.S. and the World - Construct an argument about the impact of the technological changes on American society and popular culture in the post-World War II era.
9,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,9.4.21.15,"U.S. History Era 8: Civil Rights Struggles - Explain the difference between an immigrant and a refugee. Describe various immigrant, migrant and refugee groups, focusing on Hmong, Somali, Indian, Ethiopian and Latinx people who have come to the United States. Examine different responses to immigration and the growing diversity of the United States."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.1,"World History Era 2: Cities, Societies and Empires (2,500 BCE-800 CE) - Consider what it means to have a ""successful"" society and examine how some societies have adapted to social, environmental and/or political changes. Evaluate whether these adaptations can be applied to human society today."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.2,"World History Era 3: Interregional Networks and Exchange (700-1500) - Identify the influence of Islamic centers of learning on the European Renaissance, the Scientific Revolution and society today."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.3,"World History Era 4: The First Global Age (1400-1800) - Analyze how caste systems based upon race, social class and religion have been used to justify imperialism, colonization, warfare and chattel slavery. Analyze how those caste systems and justifications have changed over time and how they influence our society today."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.4,"World History Era 5: Revolutions, Empires and Nations (1750-1900) - Identify the long-term economic, political and cultural impacts of imperialism today, focusing on neo-imperialism and movements of anti-imperialism."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.5,World History Era 6: The New Global Era (1900-Present) - Examine multiple strategies used by the environmental movement of the 20th and 21st centuries. Identify individuals and groups today who are building on that legacy.
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.6,World History Era 6: The New Global Era (1900-Present) - Draw on historical examples to propose a solution to a pressing global issue.
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.7,U.S. History Era 1: Indigenous Histories - Examine the survival of Indigenous nations in the contemporary world and examine how Indigenous people have contested narratives of erasure that have silenced their histories.
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.8,"U.S. History Era 2: Settler Colonialism and Atlantic Slavery - Examine the contemporary significance of foundational dates in U.S. History, specifically dates related to the founding of the North American colonies (1492, 1607, 1620), the development of the institution of slavery (1619) and the founding of the United States as an independent country (1776, 1789). Construct an argument using precise and knowledgeable claims, with evidence from multiple sources, about how one or more of these dates became memorialized in the 19th, 20th, or 21st centuries."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.9,"U.S. History Era 3: Freedom, Unfreedom and Revolution - Examine the meaning of freedom in the Revolutionary era and today. Examine how groups and communities have fought for freedom, revolution and anti-colonialism."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.10,"U.S. History Era 4: Imperial Expansion and Native Dispossession - Compare and contrast historical memorialization of ""pioneers"" and frontiers versus dispossession and homelands."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.11,"U.S. History Era 5: Slavery, Civil War and Reconstruction - Examine how people today view the successes and failures of Reconstruction and the implementation of the 13th, 14th, and 15th Amendments on the overall impact to reduce discrimination and inequality."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.12,"U.S. History Era 6: Migration, Imperialism and Inequality - Examine the causes and impact of the Great Depression on individuals, communities and institutions. Evaluate the impact of the New Deal and assess how people today view government responses to economic crises, including who is helped or hurt by action or inaction."
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.13,U.S. History Era 7: U.S. and the World - Develop an argument about what human rights should encompass today and/or in the future and what national and/or international institutions should do to protect those rights.
9,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,9.4.22.14,"U.S. History Era 9: Contested Freedoms - Draw on historical examples to propose a viable solution to a pressing economic, environmental or social issue."
9,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",9.5.23.1,"Analyze how the definitions, identifications and understanding of racial and ethnic groups have changed over time as a result of politics."
9,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",9.5.23.2,"Examine the construction of racialized hierarchies based on colorism and dominant European beauty standards and values. Examine the construction of hierarchies based on classism, racism, colorism and dominant beauty standards and values."
9,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",9.5.23.3,Investigate the connection between language and power and how it has been used for and against various racialized and ethnic groups.
9,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",9.5.23.4,"Investigate how the establishment of the Minnesota and U.S. government upheld and violated ideas of freedom, equality and justice for individuals and groups."
9,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",9.5.23.5,Examine the impact of U.S. imperialism and foreign policy on immigration patterns.
9,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",9.5.23.6,"Describe and analyze examples of how religions develop and change over time in response to differing social, historical, and political contexts, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
9,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,9.5.24.1,"Compare and contrast the liberation struggles of people in different regions of the world that have fought for self-determination, liberation, and the empowerment of disenfranchised and/or marginalized groups."
9,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,9.5.24.2,"Examine the characteristics of freedom movements; develop an analysis of racial capitalism, political economy, anti-Blackness, Indigenous sovereignty, illegality and indigeneity."
9,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,9.5.25.1,Evaluate the legacy and lasting effects of the civil rights movements of the 1960s and 1970s; explain their connections to current events and concerns.
9,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,9.5.25.2,"Analyze contemporary representations (Indigenous and Non-Indigenous) of Indigenous history, iconography, imagery, symbolism and culture today."
9,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,9.5.25.3,"Apply methodologies of fugitivity to map-making, economics and education."
9,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,9.5.25.4,"Explore how criminality is constructed and how social, political and legal systems define a person as a criminal, and the possible impact of that label on individuals and communities."
end of worksheet,,,,
